leccionId,titulo,descripcion,duracionMin,numero,moduloId
L00001,Lección 1 de M0001,Contenido de la lección 1 del M0001,8,1,M0001
L00002,Lección 2 de M0001,Contenido de la lección 2 del M0001,10,2,M0001
L00003,Lección 3 de M0001,Contenido de la lección 3 del M0001,12,3,M0001
L00004,Lección 1 de M0002,Contenido de la lección 1 del M0002,12,1,M0002
L00005,Lección 2 de M0002,Contenido de la lección 2 del M0002,15,2,M0002
L00006,Lección 3 de M0002,Contenido de la lección 3 del M0002,12,3,M0002
L00007,Lección 4 de M0002,Contenido de la lección 4 del M0002,8,4,M0002
L00008,Lección 1 de M0003,Contenido de la lección 1 del M0003,10,1,M0003
L00009,Lección 2 de M0003,Contenido de la lección 2 del M0003,12,2,M0003
L00010,Lección 3 de M0003,Contenido de la lección 3 del M0003,12,3,M0003
L00011,Lección 1 de M0004,Contenido de la lección 1 del M0004,12,1,M0004
L00012,Lección 2 de M0004,Contenido de la lección 2 del M0004,8,2,M0004
L00013,Lección 3 de M0004,Contenido de la lección 3 del M0004,12,3,M0004
L00014,Lección 4 de M0004,Contenido de la lección 4 del M0004,15,4,M0004
L00015,Lección 1 de M0005,Contenido de la lección 1 del M0005,8,1,M0005
L00016,Lección 2 de M0005,Contenido de la lección 2 del M0005,6,2,M0005
L00017,Lección 3 de M0005,Contenido de la lección 3 del M0005,8,3,M0005
L00018,Lección 1 de M0006,Contenido de la lección 1 del M0006,8,1,M0006
L00019,Lección 2 de M0006,Contenido de la lección 2 del M0006,12,2,M0006
L00020,Lección 3 de M0006,Contenido de la lección 3 del M0006,12,3,M0006
L00021,Lección 4 de M0006,Contenido de la lección 4 del M0006,10,4,M0006
L00022,Lección 1 de M0007,Contenido de la lección 1 del M0007,10,1,M0007
L00023,Lección 2 de M0007,Contenido de la lección 2 del M0007,10,2,M0007
L00024,Lección 3 de M0007,Contenido de la lección 3 del M0007,12,3,M0007
L00025,Lección 1 de M0008,Contenido de la lección 1 del M0008,8,1,M0008
L00026,Lección 2 de M0008,Contenido de la lección 2 del M0008,15,2,M0008
L00027,Lección 3 de M0008,Contenido de la lección 3 del M0008,6,3,M0008
L00028,Lección 4 de M0008,Contenido de la lección 4 del M0008,8,4,M0008
L00029,Lección 1 de M0009,Contenido de la lección 1 del M0009,6,1,M0009
L00030,Lección 2 de M0009,Contenido de la lección 2 del M0009,10,2,M0009
L00031,Lección 3 de M0009,Contenido de la lección 3 del M0009,10,3,M0009
L00032,Lección 1 de M0010,Contenido de la lección 1 del M0010,12,1,M0010
L00033,Lección 2 de M0010,Contenido de la lección 2 del M0010,6,2,M0010
L00034,Lección 3 de M0010,Contenido de la lección 3 del M0010,12,3,M0010
L00035,Lección 4 de M0010,Contenido de la lección 4 del M0010,8,4,M0010
L00036,Lección 1 de M0011,Contenido de la lección 1 del M0011,10,1,M0011
L00037,Lección 2 de M0011,Contenido de la lección 2 del M0011,6,2,M0011
L00038,Lección 3 de M0011,Contenido de la lección 3 del M0011,10,3,M0011
L00039,Lección 1 de M0012,Contenido de la lección 1 del M0012,6,1,M0012
L00040,Lección 2 de M0012,Contenido de la lección 2 del M0012,6,2,M0012
L00041,Lección 3 de M0012,Contenido de la lección 3 del M0012,8,3,M0012
L00042,Lección 4 de M0012,Contenido de la lección 4 del M0012,12,4,M0012
L00043,Lección 1 de M0013,Contenido de la lección 1 del M0013,15,1,M0013
L00044,Lección 2 de M0013,Contenido de la lección 2 del M0013,12,2,M0013
L00045,Lección 3 de M0013,Contenido de la lección 3 del M0013,12,3,M0013
L00046,Lección 1 de M0014,Contenido de la lección 1 del M0014,15,1,M0014
L00047,Lección 2 de M0014,Contenido de la lección 2 del M0014,8,2,M0014
L00048,Lección 3 de M0014,Contenido de la lección 3 del M0014,6,3,M0014
L00049,Lección 4 de M0014,Contenido de la lección 4 del M0014,12,4,M0014
L00050,Lección 1 de M0015,Contenido de la lección 1 del M0015,15,1,M0015
L00051,Lección 2 de M0015,Contenido de la lección 2 del M0015,6,2,M0015
L00052,Lección 3 de M0015,Contenido de la lección 3 del M0015,12,3,M0015
L00053,Lección 1 de M0016,Contenido de la lección 1 del M0016,12,1,M0016
L00054,Lección 2 de M0016,Contenido de la lección 2 del M0016,15,2,M0016
L00055,Lección 3 de M0016,Contenido de la lección 3 del M0016,15,3,M0016
L00056,Lección 4 de M0016,Contenido de la lección 4 del M0016,6,4,M0016
L00057,Lección 1 de M0017,Contenido de la lección 1 del M0017,12,1,M0017
L00058,Lección 2 de M0017,Contenido de la lección 2 del M0017,8,2,M0017
L00059,Lección 3 de M0017,Contenido de la lección 3 del M0017,8,3,M0017
L00060,Lección 1 de M0018,Contenido de la lección 1 del M0018,10,1,M0018
L00061,Lección 2 de M0018,Contenido de la lección 2 del M0018,10,2,M0018
L00062,Lección 3 de M0018,Contenido de la lección 3 del M0018,15,3,M0018
L00063,Lección 4 de M0018,Contenido de la lección 4 del M0018,15,4,M0018
L00064,Lección 1 de M0019,Contenido de la lección 1 del M0019,10,1,M0019
L00065,Lección 2 de M0019,Contenido de la lección 2 del M0019,6,2,M0019
L00066,Lección 3 de M0019,Contenido de la lección 3 del M0019,8,3,M0019
L00067,Lección 1 de M0020,Contenido de la lección 1 del M0020,6,1,M0020
L00068,Lección 2 de M0020,Contenido de la lección 2 del M0020,8,2,M0020
L00069,Lección 3 de M0020,Contenido de la lección 3 del M0020,8,3,M0020
L00070,Lección 4 de M0020,Contenido de la lección 4 del M0020,12,4,M0020
L00071,Lección 1 de M0021,Contenido de la lección 1 del M0021,8,1,M0021
L00072,Lección 2 de M0021,Contenido de la lección 2 del M0021,10,2,M0021
L00073,Lección 3 de M0021,Contenido de la lección 3 del M0021,15,3,M0021
L00074,Lección 1 de M0022,Contenido de la lección 1 del M0022,10,1,M0022
L00075,Lección 2 de M0022,Contenido de la lección 2 del M0022,15,2,M0022
L00076,Lección 3 de M0022,Contenido de la lección 3 del M0022,10,3,M0022
L00077,Lección 4 de M0022,Contenido de la lección 4 del M0022,15,4,M0022
L00078,Lección 1 de M0023,Contenido de la lección 1 del M0023,10,1,M0023
L00079,Lección 2 de M0023,Contenido de la lección 2 del M0023,10,2,M0023
L00080,Lección 3 de M0023,Contenido de la lección 3 del M0023,12,3,M0023
L00081,Lección 1 de M0024,Contenido de la lección 1 del M0024,6,1,M0024
L00082,Lección 2 de M0024,Contenido de la lección 2 del M0024,8,2,M0024
L00083,Lección 3 de M0024,Contenido de la lección 3 del M0024,10,3,M0024
L00084,Lección 4 de M0024,Contenido de la lección 4 del M0024,15,4,M0024
L00085,Lección 1 de M0025,Contenido de la lección 1 del M0025,6,1,M0025
L00086,Lección 2 de M0025,Contenido de la lección 2 del M0025,6,2,M0025
L00087,Lección 3 de M0025,Contenido de la lección 3 del M0025,12,3,M0025
L00088,Lección 1 de M0026,Contenido de la lección 1 del M0026,8,1,M0026
L00089,Lección 2 de M0026,Contenido de la lección 2 del M0026,12,2,M0026
L00090,Lección 3 de M0026,Contenido de la lección 3 del M0026,10,3,M0026
L00091,Lección 4 de M0026,Contenido de la lección 4 del M0026,15,4,M0026
L00092,Lección 1 de M0027,Contenido de la lección 1 del M0027,12,1,M0027
L00093,Lección 2 de M0027,Contenido de la lección 2 del M0027,8,2,M0027
L00094,Lección 3 de M0027,Contenido de la lección 3 del M0027,8,3,M0027
L00095,Lección 1 de M0028,Contenido de la lección 1 del M0028,10,1,M0028
L00096,Lección 2 de M0028,Contenido de la lección 2 del M0028,6,2,M0028
L00097,Lección 3 de M0028,Contenido de la lección 3 del M0028,8,3,M0028
L00098,Lección 4 de M0028,Contenido de la lección 4 del M0028,6,4,M0028
L00099,Lección 1 de M0029,Contenido de la lección 1 del M0029,15,1,M0029
L00100,Lección 2 de M0029,Contenido de la lección 2 del M0029,6,2,M0029
L00101,Lección 3 de M0029,Contenido de la lección 3 del M0029,8,3,M0029
L00102,Lección 1 de M0030,Contenido de la lección 1 del M0030,6,1,M0030
L00103,Lección 2 de M0030,Contenido de la lección 2 del M0030,15,2,M0030
L00104,Lección 3 de M0030,Contenido de la lección 3 del M0030,8,3,M0030
L00105,Lección 4 de M0030,Contenido de la lección 4 del M0030,10,4,M0030
L00106,Lección 1 de M0031,Contenido de la lección 1 del M0031,12,1,M0031
L00107,Lección 2 de M0031,Contenido de la lección 2 del M0031,12,2,M0031
L00108,Lección 3 de M0031,Contenido de la lección 3 del M0031,8,3,M0031
L00109,Lección 1 de M0032,Contenido de la lección 1 del M0032,10,1,M0032
L00110,Lección 2 de M0032,Contenido de la lección 2 del M0032,15,2,M0032
L00111,Lección 3 de M0032,Contenido de la lección 3 del M0032,8,3,M0032
L00112,Lección 4 de M0032,Contenido de la lección 4 del M0032,15,4,M0032
L00113,Lección 1 de M0033,Contenido de la lección 1 del M0033,6,1,M0033
L00114,Lección 2 de M0033,Contenido de la lección 2 del M0033,15,2,M0033
L00115,Lección 3 de M0033,Contenido de la lección 3 del M0033,6,3,M0033
L00116,Lección 1 de M0034,Contenido de la lección 1 del M0034,6,1,M0034
L00117,Lección 2 de M0034,Contenido de la lección 2 del M0034,6,2,M0034
L00118,Lección 3 de M0034,Contenido de la lección 3 del M0034,12,3,M0034
L00119,Lección 4 de M0034,Contenido de la lección 4 del M0034,8,4,M0034
L00120,Lección 1 de M0035,Contenido de la lección 1 del M0035,15,1,M0035
L00121,Lección 2 de M0035,Contenido de la lección 2 del M0035,12,2,M0035
L00122,Lección 3 de M0035,Contenido de la lección 3 del M0035,6,3,M0035
L00123,Lección 1 de M0036,Contenido de la lección 1 del M0036,8,1,M0036
L00124,Lección 2 de M0036,Contenido de la lección 2 del M0036,10,2,M0036
L00125,Lección 3 de M0036,Contenido de la lección 3 del M0036,12,3,M0036
L00126,Lección 4 de M0036,Contenido de la lección 4 del M0036,12,4,M0036
L00127,Lección 1 de M0037,Contenido de la lección 1 del M0037,15,1,M0037
L00128,Lección 2 de M0037,Contenido de la lección 2 del M0037,12,2,M0037
L00129,Lección 3 de M0037,Contenido de la lección 3 del M0037,6,3,M0037
L00130,Lección 1 de M0038,Contenido de la lección 1 del M0038,15,1,M0038
L00131,Lección 2 de M0038,Contenido de la lección 2 del M0038,8,2,M0038
L00132,Lección 3 de M0038,Contenido de la lección 3 del M0038,8,3,M0038
L00133,Lección 4 de M0038,Contenido de la lección 4 del M0038,12,4,M0038
L00134,Lección 1 de M0039,Contenido de la lección 1 del M0039,12,1,M0039
L00135,Lección 2 de M0039,Contenido de la lección 2 del M0039,15,2,M0039
L00136,Lección 3 de M0039,Contenido de la lección 3 del M0039,8,3,M0039
L00137,Lección 1 de M0040,Contenido de la lección 1 del M0040,10,1,M0040
L00138,Lección 2 de M0040,Contenido de la lección 2 del M0040,8,2,M0040
L00139,Lección 3 de M0040,Contenido de la lección 3 del M0040,12,3,M0040
L00140,Lección 4 de M0040,Contenido de la lección 4 del M0040,12,4,M0040
L00141,Lección 1 de M0041,Contenido de la lección 1 del M0041,10,1,M0041
L00142,Lección 2 de M0041,Contenido de la lección 2 del M0041,12,2,M0041
L00143,Lección 3 de M0041,Contenido de la lección 3 del M0041,6,3,M0041
L00144,Lección 1 de M0042,Contenido de la lección 1 del M0042,12,1,M0042
L00145,Lección 2 de M0042,Contenido de la lección 2 del M0042,12,2,M0042
L00146,Lección 3 de M0042,Contenido de la lección 3 del M0042,12,3,M0042
L00147,Lección 4 de M0042,Contenido de la lección 4 del M0042,12,4,M0042
L00148,Lección 1 de M0043,Contenido de la lección 1 del M0043,15,1,M0043
L00149,Lección 2 de M0043,Contenido de la lección 2 del M0043,6,2,M0043
L00150,Lección 3 de M0043,Contenido de la lección 3 del M0043,12,3,M0043
L00151,Lección 1 de M0044,Contenido de la lección 1 del M0044,6,1,M0044
L00152,Lección 2 de M0044,Contenido de la lección 2 del M0044,15,2,M0044
L00153,Lección 3 de M0044,Contenido de la lección 3 del M0044,8,3,M0044
L00154,Lección 4 de M0044,Contenido de la lección 4 del M0044,15,4,M0044
L00155,Lección 1 de M0045,Contenido de la lección 1 del M0045,6,1,M0045
L00156,Lección 2 de M0045,Contenido de la lección 2 del M0045,8,2,M0045
L00157,Lección 3 de M0045,Contenido de la lección 3 del M0045,8,3,M0045
L00158,Lección 1 de M0046,Contenido de la lección 1 del M0046,6,1,M0046
L00159,Lección 2 de M0046,Contenido de la lección 2 del M0046,15,2,M0046
L00160,Lección 3 de M0046,Contenido de la lección 3 del M0046,15,3,M0046
L00161,Lección 4 de M0046,Contenido de la lección 4 del M0046,10,4,M0046
L00162,Lección 1 de M0047,Contenido de la lección 1 del M0047,8,1,M0047
L00163,Lección 2 de M0047,Contenido de la lección 2 del M0047,6,2,M0047
L00164,Lección 3 de M0047,Contenido de la lección 3 del M0047,12,3,M0047
L00165,Lección 1 de M0048,Contenido de la lección 1 del M0048,12,1,M0048
L00166,Lección 2 de M0048,Contenido de la lección 2 del M0048,8,2,M0048
L00167,Lección 3 de M0048,Contenido de la lección 3 del M0048,6,3,M0048
L00168,Lección 4 de M0048,Contenido de la lección 4 del M0048,15,4,M0048
L00169,Lección 1 de M0049,Contenido de la lección 1 del M0049,6,1,M0049
L00170,Lección 2 de M0049,Contenido de la lección 2 del M0049,15,2,M0049
L00171,Lección 3 de M0049,Contenido de la lección 3 del M0049,12,3,M0049
L00172,Lección 1 de M0050,Contenido de la lección 1 del M0050,6,1,M0050
L00173,Lección 2 de M0050,Contenido de la lección 2 del M0050,12,2,M0050
L00174,Lección 3 de M0050,Contenido de la lección 3 del M0050,12,3,M0050
L00175,Lección 4 de M0050,Contenido de la lección 4 del M0050,15,4,M0050
L00176,Lección 1 de M0051,Contenido de la lección 1 del M0051,15,1,M0051
L00177,Lección 2 de M0051,Contenido de la lección 2 del M0051,8,2,M0051
L00178,Lección 3 de M0051,Contenido de la lección 3 del M0051,6,3,M0051
L00179,Lección 1 de M0052,Contenido de la lección 1 del M0052,12,1,M0052
L00180,Lección 2 de M0052,Contenido de la lección 2 del M0052,6,2,M0052
L00181,Lección 3 de M0052,Contenido de la lección 3 del M0052,8,3,M0052
L00182,Lección 4 de M0052,Contenido de la lección 4 del M0052,10,4,M0052
L00183,Lección 1 de M0053,Contenido de la lección 1 del M0053,12,1,M0053
L00184,Lección 2 de M0053,Contenido de la lección 2 del M0053,15,2,M0053
L00185,Lección 3 de M0053,Contenido de la lección 3 del M0053,12,3,M0053
L00186,Lección 1 de M0054,Contenido de la lección 1 del M0054,6,1,M0054
L00187,Lección 2 de M0054,Contenido de la lección 2 del M0054,10,2,M0054
L00188,Lección 3 de M0054,Contenido de la lección 3 del M0054,8,3,M0054
L00189,Lección 4 de M0054,Contenido de la lección 4 del M0054,6,4,M0054
L00190,Lección 1 de M0055,Contenido de la lección 1 del M0055,8,1,M0055
L00191,Lección 2 de M0055,Contenido de la lección 2 del M0055,6,2,M0055
L00192,Lección 3 de M0055,Contenido de la lección 3 del M0055,10,3,M0055
L00193,Lección 1 de M0056,Contenido de la lección 1 del M0056,12,1,M0056
L00194,Lección 2 de M0056,Contenido de la lección 2 del M0056,6,2,M0056
L00195,Lección 3 de M0056,Contenido de la lección 3 del M0056,15,3,M0056
L00196,Lección 4 de M0056,Contenido de la lección 4 del M0056,10,4,M0056
L00197,Lección 1 de M0057,Contenido de la lección 1 del M0057,10,1,M0057
L00198,Lección 2 de M0057,Contenido de la lección 2 del M0057,10,2,M0057
L00199,Lección 3 de M0057,Contenido de la lección 3 del M0057,6,3,M0057
L00200,Lección 1 de M0058,Contenido de la lección 1 del M0058,12,1,M0058
L00201,Lección 2 de M0058,Contenido de la lección 2 del M0058,12,2,M0058
L00202,Lección 3 de M0058,Contenido de la lección 3 del M0058,6,3,M0058
L00203,Lección 4 de M0058,Contenido de la lección 4 del M0058,6,4,M0058
L00204,Lección 1 de M0059,Contenido de la lección 1 del M0059,15,1,M0059
L00205,Lección 2 de M0059,Contenido de la lección 2 del M0059,12,2,M0059
L00206,Lección 3 de M0059,Contenido de la lección 3 del M0059,15,3,M0059
L00207,Lección 1 de M0060,Contenido de la lección 1 del M0060,6,1,M0060
L00208,Lección 2 de M0060,Contenido de la lección 2 del M0060,10,2,M0060
L00209,Lección 3 de M0060,Contenido de la lección 3 del M0060,8,3,M0060
L00210,Lección 4 de M0060,Contenido de la lección 4 del M0060,12,4,M0060
L00211,Lección 1 de M0061,Contenido de la lección 1 del M0061,8,1,M0061
L00212,Lección 2 de M0061,Contenido de la lección 2 del M0061,12,2,M0061
L00213,Lección 3 de M0061,Contenido de la lección 3 del M0061,8,3,M0061
L00214,Lección 1 de M0062,Contenido de la lección 1 del M0062,8,1,M0062
L00215,Lección 2 de M0062,Contenido de la lección 2 del M0062,6,2,M0062
L00216,Lección 3 de M0062,Contenido de la lección 3 del M0062,12,3,M0062
L00217,Lección 4 de M0062,Contenido de la lección 4 del M0062,12,4,M0062
L00218,Lección 1 de M0063,Contenido de la lección 1 del M0063,12,1,M0063
L00219,Lección 2 de M0063,Contenido de la lección 2 del M0063,15,2,M0063
L00220,Lección 3 de M0063,Contenido de la lección 3 del M0063,15,3,M0063
L00221,Lección 1 de M0064,Contenido de la lección 1 del M0064,15,1,M0064
L00222,Lección 2 de M0064,Contenido de la lección 2 del M0064,15,2,M0064
L00223,Lección 3 de M0064,Contenido de la lección 3 del M0064,15,3,M0064
L00224,Lección 4 de M0064,Contenido de la lección 4 del M0064,15,4,M0064
L00225,Lección 1 de M0065,Contenido de la lección 1 del M0065,15,1,M0065
L00226,Lección 2 de M0065,Contenido de la lección 2 del M0065,6,2,M0065
L00227,Lección 3 de M0065,Contenido de la lección 3 del M0065,15,3,M0065
L00228,Lección 1 de M0066,Contenido de la lección 1 del M0066,10,1,M0066
L00229,Lección 2 de M0066,Contenido de la lección 2 del M0066,10,2,M0066
L00230,Lección 3 de M0066,Contenido de la lección 3 del M0066,15,3,M0066
L00231,Lección 4 de M0066,Contenido de la lección 4 del M0066,15,4,M0066
L00232,Lección 1 de M0067,Contenido de la lección 1 del M0067,6,1,M0067
L00233,Lección 2 de M0067,Contenido de la lección 2 del M0067,8,2,M0067
L00234,Lección 3 de M0067,Contenido de la lección 3 del M0067,10,3,M0067
L00235,Lección 1 de M0068,Contenido de la lección 1 del M0068,12,1,M0068
L00236,Lección 2 de M0068,Contenido de la lección 2 del M0068,8,2,M0068
L00237,Lección 3 de M0068,Contenido de la lección 3 del M0068,6,3,M0068
L00238,Lección 4 de M0068,Contenido de la lección 4 del M0068,8,4,M0068
L00239,Lección 1 de M0069,Contenido de la lección 1 del M0069,12,1,M0069
L00240,Lección 2 de M0069,Contenido de la lección 2 del M0069,15,2,M0069
L00241,Lección 3 de M0069,Contenido de la lección 3 del M0069,15,3,M0069
L00242,Lección 1 de M0070,Contenido de la lección 1 del M0070,6,1,M0070
L00243,Lección 2 de M0070,Contenido de la lección 2 del M0070,8,2,M0070
L00244,Lección 3 de M0070,Contenido de la lección 3 del M0070,8,3,M0070
L00245,Lección 4 de M0070,Contenido de la lección 4 del M0070,12,4,M0070
